OrderID;OrderDate;OrderRequiredDate;OrderShippedDate;OrderShipVia;OrderFreight;OrderShipName;OrderShipAddress;OrderShipCity;OrderShipRegion;OrderShipPostalCode;OrderShipCountry;CustomerID;CustCompanyName;CustContactName;CustContactTitle;CustAddress;CustCity;CustRegion;CustPostalCode;CustCountry;CustPhone;CustFax;EmployeeID;EmployeeLastName;EmployeeFirstName;EmployeeTitle;EmployeeTitleOfCourtesy;EmployeeBirthDate;EmployeeHireDate;EmployeeAddress;EmployeeCity;EmployeeRegion;EmployeePostalCode;EmployeeCountry;EmployeeHomePhone;EmployeeExtension;EmployeeNotes;EmployeeReportsTo;UnitPrice;Quantity;Discount;ProductID;ProductName;ProductSupplierID;ProductQuantityPerUnit;ProductUnitPrice;ProductUnitsInStock;ProductUnitsOnOrder;ProductReorderLevel;ProductDiscontinued;SupplierID;SupplierCompanyName;SupplierContactName;SupplierContactTitle;SupplierAddress;SupplierCity;SupplierRegion;SupplierPostalCode;SupplierCountry;SupplierPhone;SupplierFax;CategoryID;CategoryName;Description
10248;04-07-2019;01-08-2019;16-07-2019;3;32,38;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;VINET;Vins et alcools Chevalier;Paul Henriot;Accounting Manager;59 rue de l'Abbaye;Reims;;51100;France;26.47.15.10;26.47.15.11;5;Buchanan;Steven;Sales Manager;Mr.;04-03-1955;17-10-1993;14 Garrett Hill;London;;SW1 8JR;UK;(71) 555-4848;3453;"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses ""Successful Telemarketing"" and ""International Sales Management.""  He is fluent in French.";2;14;12;0;11;Queso Cabrales;5;1 kg pkg.;21;22;30;30;FALSO;5;Cooperativa de Quesos 'Las Cabras';Antonio del Valle Saavedra;Export Administrator;Calle del Rosal 4;Oviedo;Asturias;33007;Spain;(98) 598 76 54;;4;Dairy Products;Cheeses
10248;04-07-2019;01-08-2019;16-07-2019;3;32,38;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;VINET;Vins et alcools Chevalier;Paul Henriot;Accounting Manager;59 rue de l'Abbaye;Reims;;51100;France;26.47.15.10;26.47.15.11;5;Buchanan;Steven;Sales Manager;Mr.;04-03-1955;17-10-1993;14 Garrett Hill;London;;SW1 8JR;UK;(71) 555-4848;3453;"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses ""Successful Telemarketing"" and ""International Sales Management.""  He is fluent in French.";2;9,8;10;0;42;Singaporean Hokkien Fried Mee;20;32 - 1 kg pkgs.;14;26;0;0;VERDADERO;20;Leka Trading;Chandra Leka;Owner;471 Serangoon Loop, Suite #402;Singapore;;512;Singapore;555-8787;;5;Grains/Cereals;Breads, crackers, pasta, and cereal
10248;04-07-2019;01-08-2019;16-07-2019;3;32,38;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;VINET;Vins et alcools Chevalier;Paul Henriot;Accounting Manager;59 rue de l'Abbaye;Reims;;51100;France;26.47.15.10;26.47.15.11;5;Buchanan;Steven;Sales Manager;Mr.;04-03-1955;17-10-1993;14 Garrett Hill;London;;SW1 8JR;UK;(71) 555-4848;3453;"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses ""Successful Telemarketing"" and ""International Sales Management.""  He is fluent in French.";2;34,8;5;0;72;Mozzarella di Giovanni;14;24 - 200 g pkgs.;34,8;14;0;0;FALSO;14;Formaggi Fortini s.r.l.;Elio Rossi;Sales Representative;Viale Dante, 75;Ravenna;;48100;Italy;(0544) 60323;(0544) 60603;4;Dairy Products;Cheeses
10249;05-07-2019;16-08-2019;10-07-2019;1;11,61;Toms Spezialit�ten;Luisenstr. 48;M�nster;;44087;Germany;TOMSP;Toms Spezialit�ten;Karin Josephs;Marketing Manager;Luisenstr. 48;M�nster;;44087;Germany;0251-031259;0251-035695;6;Suyama;Michael;Sales Representative;Mr.;02-07-1963;17-10-1993;Coventry HouseMiner Rd.;London;;EC2 7JR;UK;(71) 555-7773;428;"Michael is a graduate of Sussex University (MA, economics, 1983) and the University of California at Los Angeles (MBA, marketing, 1986).  He has also taken the courses ""Multi-Cultural Selling"" and ""Time Management for the Sales Professional.""  He is fluent in Japanese and can read and write French, Portuguese, and Spanish.";5;18,6;9;0;14;Tofu;6;40 - 100 g pkgs.;23,25;35;0;0;FALSO;6;Mayumi's;Mayumi Ohno;Marketing Representative;92 Setsuko Chuo-ku;Osaka;;545;Japan;(06) 431-7877;;7;Produce;Dried fruit and bean curd
10249;05-07-2019;16-08-2019;10-07-2019;1;11,61;Toms Spezialit�ten;Luisenstr. 48;M�nster;;44087;Germany;TOMSP;Toms Spezialit�ten;Karin Josephs;Marketing Manager;Luisenstr. 48;M�nster;;44087;Germany;0251-031259;0251-035695;6;Suyama;Michael;Sales Representative;Mr.;02-07-1963;17-10-1993;Coventry HouseMiner Rd.;London;;EC2 7JR;UK;(71) 555-7773;428;"Michael is a graduate of Sussex University (MA, economics, 1983) and the University of California at Los Angeles (MBA, marketing, 1986).  He has also taken the courses ""Multi-Cultural Selling"" and ""Time Management for the Sales Professional.""  He is fluent in Japanese and can read and write French, Portuguese, and Spanish.";5;42,4;40;0;51;Manjimup Dried Apples;24;50 - 300 g pkgs.;53;20;0;10;FALSO;24;G'day, Mate;Wendy Mackenzie;Sales Representative;170 Prince Edward Parade Hunter's Hill;Sydney;NSW;2042;Australia;(02) 555-5914;(02) 555-4873;7;Produce;Dried fruit and bean curd
10250;08-07-2019;05-08-2019;12-07-2019;2;65,83;Hanari Carnes;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;Mario Pontes;Accounting Manager;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;(21) 555-0091;(21) 555-8765;4;Peacock;Margaret;Sales Representative;Mrs.;19-09-1937;03-05-1993;4110 Old Redmond Rd.;Redmond;WA;98052;USA;(206) 555-8122;5176;Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.;2;7,7;10;0;41;Jack's New England Clam Chowder;19;12 - 12 oz cans;9,65;85;0;10;FALSO;19;New England Seafood Cannery;Robb Merchant;Wholesale Account Agent;Order Processing Dept. 2100 Paul Revere Blvd.;Boston;MA;2134;USA;(617) 555-3267;(617) 555-3389;8;Seafood;Seaweed and fish
10250;08-07-2019;05-08-2019;12-07-2019;2;65,83;Hanari Carnes;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;Mario Pontes;Accounting Manager;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;(21) 555-0091;(21) 555-8765;4;Peacock;Margaret;Sales Representative;Mrs.;19-09-1937;03-05-1993;4110 Old Redmond Rd.;Redmond;WA;98052;USA;(206) 555-8122;5176;Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.;2;42,4;35;0,15;51;Manjimup Dried Apples;24;50 - 300 g pkgs.;53;20;0;10;FALSO;24;G'day, Mate;Wendy Mackenzie;Sales Representative;170 Prince Edward Parade Hunter's Hill;Sydney;NSW;2042;Australia;(02) 555-5914;(02) 555-4873;7;Produce;Dried fruit and bean curd
10250;08-07-2019;05-08-2019;12-07-2019;2;65,83;Hanari Carnes;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;Mario Pontes;Accounting Manager;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;(21) 555-0091;(21) 555-8765;4;Peacock;Margaret;Sales Representative;Mrs.;19-09-1937;03-05-1993;4110 Old Redmond Rd.;Redmond;WA;98052;USA;(206) 555-8122;5176;Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.;2;16,8;15;0,15;65;Louisiana Fiery Hot Pepper Sauce;2;32 - 8 oz bottles;21,05;76;0;0;FALSO;2;New Orleans Cajun Delights;Shelley Burke;Order Administrator;P.O. Box 78934;New Orleans;LA;70117;USA;(100) 555-4822;;2;Condiments;Sweet and savory sauces, relishes, spreads, and seasonings
10251;08-07-2019;05-08-2019;15-07-2019;1;41,34;Victuailles en stock;2, rue du Commerce;Lyon;;69004;France;VICTE;Victuailles en stock;Mary Saveley;Sales Agent;2, rue du Commerce;Lyon;;69004;France;78.32.54.86;78.32.54.87;3;Leverling;Janet;Sales Representative;Ms.;30-08-1963;01-04-1992;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;(206) 555-3412;3355;Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.;2;16,8;6;0,05;22;Gustaf's Kn�ckebr�d;9;24 - 500 g pkgs.;21;104;0;25;FALSO;9;PB Kn�ckebr�d AB;Lars Peterson;Sales Agent;Kaloadagatan 13;G�teborg;;S-345 67;Sweden;031-987 65 43;031-987 65 91;5;Grains/Cereals;Breads, crackers, pasta, and cereal
10251;08-07-2019;05-08-2019;15-07-2019;1;41,34;Victuailles en stock;2, rue du Commerce;Lyon;;69004;France;VICTE;Victuailles en stock;Mary Saveley;Sales Agent;2, rue du Commerce;Lyon;;69004;France;78.32.54.86;78.32.54.87;3;Leverling;Janet;Sales Representative;Ms.;30-08-1963;01-04-1992;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;(206) 555-3412;3355;Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.;2;15,6;15;0,05;57;Ravioli Angelo;26;24 - 250 g pkgs.;19,5;36;0;20;FALSO;26;Pasta Buttini s.r.l.;Giovanni Giudici;Order Administrator;Via dei Gelsomini, 153;Salerno;;84100;Italy;(089) 6547665;(089) 6547667;5;Grains/Cereals;Breads, crackers, pasta, and cereal
